OBJECTID,Vehicle Year,Vehicle Make,Vehicle Model,Vehicle Style,Vehicle Colour,Vehicle Value,Weekday,Recovered,Neighbourhood,Ward,Sector,Reported Date,Occurred Date,Year,Intersection,Division,Census Tract,Time of Day,Councillor,Reported Hour,Occurred Hour,x,y,Reported
1,2012,"TOYOTA/ TOYOTA MOTOR CO., LTD.",CAMRY,Automobile,DGR,8000,Sunday,Y,Orléans North West,Ward 2 - Orléans West-Innes,Sector 31,2019-05-20,2019-05-19,2019,"JEANNE D'ARC BLVD, MILLWOOD CRT",East,5050124.04,Evening,Laura Dudas,1100,2300,380182.9261,5038170.593,5/20/2019
2,2016,NISSAN,,Automobile,BLK,,Monday,Y,Orléans Village - Chateauneuf,Ward 2 - Orléans West-Innes,Sector 31,2019-05-20,2019-05-20,2019,"BELCOURT BLVD, LEBLANC DR, BARSONA PL",East,5050125.05,Night,Laura Dudas,400,400,381423.9357,5036996.576,5/20/2019
3,,,,Other,RED,2500,Monday,N,Britannia Village,Ward 7 - Bay,Sector 14,2019-05-21,2019-05-20,2019,"140 E OF POULIN AVE, RICHMOND RD",West,5050030,Evening,Theresa Kavanagh,1000,2300,360401.0446,5025020.249,5/21/2019
4,2018,AUDI,,Automobile,BLK,128000,Friday,Y,Vanier South,Ward 13 - Rideau-Rockcliffe,Sector 25,2019-05-21,2019-04-12,2019,"CAMIL ST, ST. LAURENT BLVD",Central,5050061,,Rawlson King,1400,,371577.4509,5033729.937,5/21/2019
5,2008,VOLVO,,Automobile,SIL,,Tuesday,Y,Centretown,Ward 14 - Somerset,Sector 23,2019-05-21,2019-05-21,2019,"BANK ST, LAURIER AVE",Central,5050048,Morning,Ariel Troster,1200,1000,367483.9831,5031266.411,5/21/2019
6,,CHEVROLET,SONIC,Automobile,WHI,,Tuesday,Y,Cityview - Skyline - Fisher Heights,Ward 9 - Knoxdale-Merivale,Sector 17,2019-05-21,2019-05-21,2019,"KESLER AVE, WILLETH AVE",West,5050132,Morning,Sean Devine,900,900,365814.895,5025595.524,5/21/2019
7,2012,AUDI,,Automobile,BLU,,Tuesday,Y,Westboro,Ward 15 - Kitchissippi,Sector 21,2019-05-21,2019-05-21,2019,"CURRELL AVE, IRENE CRES",Central,5050033.01,Morning,Jeff Leiper,800,800,363828.8864,5027263.538,5/21/2019
8,2017,HYUNDAI,,Suv,BLK,,Tuesday,Y,Crestview - Meadowlands,Ward 8 - College,Sector 17,2019-05-21,2019-05-21,2019,"BASELINE RD, DEERFIELD DR",West,5050133,Afternoon,Laine Johnson,200,1700,363374.5993,5024272.188,5/21/2019
9,,KUBOTA TRACTOR CORP.,,Other,ONG,,Tuesday,N,Britannia Village,Ward 7 - Bay,Sector 14,2019-05-21,2019-05-21,2019,"BOND ST, FOREST ST",West,5050030,Afternoon,Theresa Kavanagh,1500,1400,360515.871,5025039.517,5/21/2019
10,,,,Other,BLU,,Wednesday,N,Centretown,Ward 14 - Somerset,Sector 23,2019-05-22,2019-05-22,2019,"ALBERT ST, LYON ST N  ",Central,5050048,Morning,Ariel Troster,1500,900,367066.387,5031220.739,5/22/2019
11,2010,,,Motorcycle,BLU,,Wednesday,N,Bayshore,Ward 7 - Bay,Sector 14,2019-05-22,2019-05-22,2019,"WOODRIDGE CRES, TRANSITWAY LINK",West,5050138,Morning,Theresa Kavanagh,1900,1000,358890.0021,5023214.222,5/22/2019
12,2006,"HONDA/AMERICAN HONDA MOTOR CO.,",CIVIC (AND CRX),Automobile,LBL,,Tuesday,Y,Carlington,Ward 16 - River,Sector 21,2019-05-22,2019-05-21,2019,"MERIVALE RD,30m S SUMMERVILLE AVE",Central,5050022,Evening,Riley Brockington,100,2200,364879.0313,5026415.138,5/22/2019
13,2010,"TOYOTA/ TOYOTA MOTOR CO., LTD.",COROLLA,Automobile,BLK,,Tuesday,Y,Bells Corners West,Ward 8 - College,Sector 15,2019-05-22,2019-05-21,2019,"MOODIE DR, ROBERTSON RD",West,5050136.02,Afternoon,Laine Johnson,1200,1600,357066.8466,5020454.476,5/22/2019
